User ID,Name,Email,Role,Is Verified
e4b138a2-b736-45bd-add0-662e90a2672a,Student 45,student45@tech.edu,STUDENT,True
52954bba-dbd5-45cd-ba04-76cad2390263,Student 46,student46@tech.edu,STUDENT,True
4a8e774a-d9df-4c7d-ba31-14da528efdda,Student 47,student47@tech.edu,STUDENT,True
96993d50-e7b3-4fce-8144-1012468bfd42,Student 48,student48@tech.edu,STUDENT,True
a4c77e41-438c-48d3-aeed-1f74e3c13155,Student 49,student49@tech.edu,STUDENT,True
8fec0c93-f4af-4a55-a55d-ba53c5d38e0d,Student 50,student50@tech.edu,STUDENT,True
b38f5570-73b7-4090-bc06-924d5522e4d5,Pending Student 1,pending1@tech.edu,STUDENT,False
e4070dcb-bf25-488d-9d77-599235449dd2,Pending Student 2,pending2@tech.edu,STUDENT,False
118b0b3d-dceb-4ff9-b37b-3d7378376853,Pending Student 3,pending3@tech.edu,STUDENT,False
00a22fd5-de26-4f86-b104-33efe4ec51e4,Pending Student 4,pending4@tech.edu,STUDENT,False
4f09df2d-7370-4be2-a813-4e8441024774,Pending Student 5,pending5@tech.edu,STUDENT,False
